adsh,report,rfile,menucat,shortname,longname,roleuri,parentroleuri,parentreport,ultparentrpt
0001193125-20-088317,76,H,D,Equity-accounted investee,041103 - Disclosure - Equity-accounted investee - Reconciliation of carrying amount (Details),http://www.cameco.com/role/EquityaccountedInvesteeReconciliationOfCarryingAmountDetails,,,
0001193125-20-088317,77,H,D,Accounts payable and accrued liabilities (Details),041201 - Disclosure - Accounts payable and accrued liabilities (Details),http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesDetails,http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesTables,47.0,18.0
0001193125-20-088317,78,H,D,Long term debt,041301 - Disclosure - Long term debt - Schedules (Details),http://www.cameco.com/role/LongTermDebtSchedulesDetails,,,
0001193125-20-088317,79,H,D,Long term debt,041302 - Disclosure - Long term debt - Schedules (Narrative) (Details),http://www.cameco.com/role/LongTermDebtSchedulesNarrativeDetails,,,
0001193125-20-088317,80,H,D,Long-term debt,041303 - Disclosure - Long-term debt - Product loan details (Details),http://www.cameco.com/role/LongtermDebtProductLoanDetailsDetails,,,
0001193125-20-088317,81,H,D,Other liabilities (Details),041401 - Disclosure - Other liabilities (Details),http://www.cameco.com/role/OtherLiabilitiesDetails,http://www.cameco.com/role/OtherLiabilitiesTables,49.0,20.0
0001193125-20-088317,82,H,D,Other liabilities (Narrative) (Details),041402 - Disclosure - Other liabilities (Narrative) (Details),http://www.cameco.com/role/OtherLiabilitiesNarrativeDetails,http://www.cameco.com/role/OtherLiabilitiesTables,49.0,20.0
0001193125-20-088317,83,H,D,Provisions (Details),041501 - Disclosure - Provisions (Details),http://www.cameco.com/role/ProvisionsDetails,http://www.cameco.com/role/ProvisionsTables,50.0,21.0
0001193125-20-088317,84,H,D,Share Capital (Details),041601 - Disclosure - Share Capital (Details),http://www.cameco.com/role/ShareCapitalDetails,,,
0001193125-20-088317,85,H,D,Revenue,041701 - Disclosure - Revenue - Disaggregation (Details),http://www.cameco.com/role/RevenueDisaggregationDetails,,,
0001193125-20-088317,86,H,D,Revenue,041702 - Disclosure - Revenue - Deferred revenue (Details),http://www.cameco.com/role/RevenueDeferredRevenueDetails,,,
0001193125-20-088317,87,H,D,Revenue,041703 - Disclosure - Revenue - Future sales commitments (Details),http://www.cameco.com/role/RevenueFutureSalesCommitmentsDetails,,,
0001193125-20-088317,88,H,D,Revenue,041704 - Disclosure - Revenue - Narrative (Details),http://www.cameco.com/role/RevenueNarrativeDetails,,,
0001193125-20-088317,89,H,D,Employee benefit expense (Details),041801 - Disclosure - Employee benefit expense (Details),http://www.cameco.com/role/EmployeeBenefitExpenseDetails,http://www.cameco.com/role/EmployeeBenefitExpenseTables,53.0,24.0
0001193125-20-088317,90,H,D,Finance cost (Details),041901 - Disclosure - Finance cost (Details),http://www.cameco.com/role/FinanceCostDetails,http://www.cameco.com/role/FinanceCostsTables,54.0,25.0
0001193125-20-088317,91,H,D,Other income (expense) (Details),042001 - Disclosure - Other income (expense) (Details),http://www.cameco.com/role/OtherIncomeexpenseDetails,http://www.cameco.com/role/OtherIncomeexpenseTables,55.0,26.0
0001193125-20-088317,92,H,D,Other income (expense),042002 - Disclosure - Other income (expense) - Narrative (Details),http://www.cameco.com/role/OtherIncomeexpenseNarrativeDetails,http://www.cameco.com/role/OtherIncomeexpenseTables,55.0,26.0
0001193125-20-088317,93,H,D,Income Taxes,042101 - Disclosure - Income Taxes - Significant components of deferred tax assets and liabilities (Details),http://www.cameco.com/role/IncomeTaxesSignificantComponentsOfDeferredTaxAssetsAndLiabilitiesDetails,,,
0001193125-20-088317,94,H,D,Income Taxes,042102 - Disclosure - Income Taxes - Movement in net deferred tax assets and liabilities (Details),http://www.cameco.com/role/IncomeTaxesMovementInNetDeferredTaxAssetsAndLiabilitiesDetails,,,
0001193125-20-088317,95,H,D,Income Taxes,042103 - Disclosure - Income Taxes - Significant components of unrecognized deferred tax assets (Details),http://www.cameco.com/role/IncomeTaxesSignificantComponentsOfUnrecognizedDeferredTaxAssetsDetails,,,
0001193125-20-088317,96,H,D,Income Taxes,042104 - Disclosure - Income Taxes - Tax rate reconciliation (Details),http://www.cameco.com/role/IncomeTaxesTaxRateReconciliationDetails,,,
0001193125-20-088317,97,H,D,Income Taxes,042105 - Disclosure - Income Taxes - Earnings and income taxes by jurisdiction (Details),http://www.cameco.com/role/IncomeTaxesEarningsAndIncomeTaxesByJurisdictionDetails,,,
0001193125-20-088317,98,H,D,Income Taxes,042106 - Disclosure - Income Taxes - Income tax losses carried forward (Details),http://www.cameco.com/role/IncomeTaxesIncomeTaxLossesCarriedForwardDetails,,,
0001193125-20-088317,99,H,D,Income Taxes,042107 - Disclosure - Income Taxes - Narratives (Details),http://www.cameco.com/role/IncomeTaxesNarrativesDetails,,,
0001193125-20-088317,100,H,D,Per share amounts (Details),042201 - Disclosure - Per share amounts (Details),http://www.cameco.com/role/PerShareAmountsDetails,http://www.cameco.com/role/PerShareAmountsTables,57.0,28.0
0001193125-20-088317,101,H,D,Supplemental cash flow information (Details),042301 - Disclosure - Supplemental cash flow information (Details),http://www.cameco.com/role/SupplementalCashFlowInformationDetails,http://www.cameco.com/role/SupplementalCashFlowInformationTables,58.0,29.0
0001193125-20-088317,102,H,D,Supplemental cash flow information,042302 - Disclosure - Supplemental cash flow information - Financing activities (Details),http://www.cameco.com/role/SupplementalCashFlowInformationFinancingActivitiesDetails,,,
0001193125-20-088317,103,H,D,Share-based compensation plans,042401 - Disclosure - Share-based compensation plans - Share options number and weighted average price (Details),http://www.cameco.com/role/SharebasedCompensationPlansShareOptionsNumberAndWeightedAveragePriceDetails,,,
0001193125-20-088317,104,H,D,Share-based compensation plans,042403 - Disclosure - Share-based compensation plans - equity-settled and cash-settled (Details),http://www.cameco.com/role/SharebasedCompensationPlansEquitysettledAndCashsettledDetails,,,
0001193125-20-088317,105,H,D,Share-based compensation plans,042404 - Disclosure - Share-based compensation plans - Inputs used in the measurement (Details),http://www.cameco.com/role/SharebasedCompensationPlansInputsUsedInTheMeasurementDetails,,,
0001193125-20-088317,106,H,D,Share-based compensation plans,042405 - Disclosure - Share-based compensation plans - Narrative (Details),http://www.cameco.com/role/SharebasedCompensationPlansNarrativeDetails,,,
0001193125-20-088317,107,H,D,Pension and other post-retirement benefits,042501 - Disclosure - Pension and other post-retirement benefits - Defined benefit plans (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsDefinedBenefitPlansDetails,,,
0001193125-20-088317,108,H,D,Pension and other post-retirement benefits,042502 - Disclosure - Pension and other post-retirement benefits - percentages of the total fair value of assets (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsPercentagesOfTheTotalFairValueOfAssetsDetails,,,
0001193125-20-088317,109,H,D,Pension and other post-retirement benefits,042503 - Disclosure - Pension and other post-retirement benefits - components of net pension and other benefit expense (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsComponentsOfNetPensionAndOtherBenefitExpenseDetails,,,
0001193125-20-088317,110,H,D,Pension and other post-retirement benefits,042504 - Disclosure - Pension and other post-retirement benefits - Assumptions and 1% change (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsAssumptionsAnd1ChangeDetails,,,
0001193125-20-088317,111,H,D,Pension and other post-retirement benefits,042505 - Disclosure - Pension and other post-retirement benefits - Narrative (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsNarrativeDetails,,,
0001193125-20-088317,112,H,D,Financial instruments,042601 - Disclosure - Financial instruments - related risk management (Details),http://www.cameco.com/role/FinancialInstrumentsRelatedRiskManagementDetails,,,
0001193125-20-088317,113,H,D,Financial Instruments,042602 - Disclosure - Financial Instruments - Exposure to credit risk receivables (Details),http://www.cameco.com/role/FinancialInstrumentsExposureToCreditRiskReceivablesDetails,,,
0001193125-20-088317,114,H,D,Financial Instruments,042603 - Disclosure - Financial Instruments - Aging of trade receivables (Details),http://www.cameco.com/role/FinancialInstrumentsAgingOfTradeReceivablesDetails,,,
0001193125-20-088317,115,H,D,Financial instruments,042604 - Disclosure - Financial instruments - Liquidity Risk Tables (Details),http://www.cameco.com/role/FinancialInstrumentsLiquidityRiskTablesDetails,,,
0001193125-20-088317,116,H,D,Financial instruments,042605 - Disclosure - Financial instruments - Measurement of fair values (Details),http://www.cameco.com/role/FinancialInstrumentsMeasurementOfFairValuesDetails,,,
0001193125-20-088317,117,H,D,Financial instruments,042606 - Disclosure - Financial instruments - Measurement of fair values hierarchy levels (Details),http://www.cameco.com/role/FinancialInstrumentsMeasurementOfFairValuesHierarchyLevelsDetails,,,
0001193125-20-088317,118,H,D,Financial instruments,042607 - Disclosure - Financial instruments - Derivatives (Details),http://www.cameco.com/role/FinancialInstrumentsDerivativesDetails,,,
0001193125-20-088317,119,H,D,Financial instruments,042608 - Disclosure - Financial instruments - Narrative (Details),http://www.cameco.com/role/FinancialInstrumentsNarrativeDetails,,,
0001193125-20-088317,120,H,D,Capital management (Details),042701 - Disclosure - Capital management (Details),http://www.cameco.com/role/CapitalManagementDetails,http://www.cameco.com/role/CapitalManagementTables,62.0,33.0
0001193125-20-088317,121,H,D,Segmented information,042801 - Disclosure - Segmented information - Narrative (Details),http://www.cameco.com/role/SegmentedInformationNarrativeDetails,,,
0001193125-20-088317,122,H,D,Segmented information,042802 - Disclosure - Segmented information - Business segments (Details),http://www.cameco.com/role/SegmentedInformationBusinessSegmentsDetails,,,
0001193125-20-088317,123,H,D,Segmented information,042803 - Disclosure - Segmented information - Geographical segment (Details),http://www.cameco.com/role/SegmentedInformationGeographicalSegmentDetails,,,
0001193125-20-088317,124,H,D,Segmented information,042804 - Disclosure - Segmented information - Major customers (Details),http://www.cameco.com/role/SegmentedInformationMajorCustomersDetails,,,
0001193125-20-088317,125,H,D,Group entities (Details),042901 - Disclosure - Group entities (Details),http://www.cameco.com/role/GroupEntitiesDetails,http://www.cameco.com/role/GroupEntitiesTables,64.0,35.0
0001193125-20-088317,126,H,D,Joint operations (Details),043001 - Disclosure - Joint operations (Details),http://www.cameco.com/role/JointOperationsDetails,http://www.cameco.com/role/JointOperationsTables,65.0,36.0
0001193125-20-088317,127,H,D,Related parties (Details),043101 - Disclosure - Related parties (Details),http://www.cameco.com/role/RelatedPartiesDetails,http://www.cameco.com/role/RelatedPartiesTables,66.0,37.0
0001193125-21-087174,126,H,D,Related parties (Details),043101 - Disclosure - Related parties (Details),http://www.cameco.com/role/RelatedPartiesDetails,http://www.cameco.com/role/RelatedPartiesTables,66.0,37.0
0001193125-21-087174,125,H,D,Joint operations (Details),043001 - Disclosure - Joint operations (Details),http://www.cameco.com/role/JointOperationsDetails,http://www.cameco.com/role/JointOperationsTables,65.0,36.0
0001193125-21-087174,124,H,D,Group entities (Details),042901 - Disclosure - Group entities (Details),http://www.cameco.com/role/GroupEntitiesDetails,http://www.cameco.com/role/GroupEntitiesTables,64.0,35.0
0001193125-21-087174,123,H,D,Segmented information,042804 - Disclosure - Segmented information - Major customers (Details),http://www.cameco.com/role/SegmentedInformationMajorCustomersDetails,,,
0001193125-21-087174,122,H,D,Segmented information,042803 - Disclosure - Segmented information - Geographical segment (Details),http://www.cameco.com/role/SegmentedInformationGeographicalSegmentDetails,,,
0001193125-21-087174,121,H,D,Segmented information,042802 - Disclosure - Segmented information - Business segments (Details),http://www.cameco.com/role/SegmentedInformationBusinessSegmentsDetails,,,
0001193125-21-087174,120,H,D,Segmented information,042801 - Disclosure - Segmented information - Narrative (Details),http://www.cameco.com/role/SegmentedInformationNarrativeDetails,,,
0001193125-21-087174,119,H,D,Capital management (Details),042701 - Disclosure - Capital management (Details),http://www.cameco.com/role/CapitalManagementDetails,http://www.cameco.com/role/CapitalManagementTables,62.0,33.0
0001193125-21-087174,118,H,D,Financial instruments,042608 - Disclosure - Financial instruments - Narrative (Details),http://www.cameco.com/role/FinancialInstrumentsNarrativeDetails,,,
0001193125-21-087174,117,H,D,Financial instruments,042607 - Disclosure - Financial instruments - Derivatives (Details),http://www.cameco.com/role/FinancialInstrumentsDerivativesDetails,,,
0001193125-21-087174,116,H,D,Financial instruments,042606 - Disclosure - Financial instruments - Measurement of fair values hierarchy levels (Details),http://www.cameco.com/role/FinancialInstrumentsMeasurementOfFairValuesHierarchyLevelsDetails,,,
0001193125-21-087174,115,H,D,Financial instruments,042605 - Disclosure - Financial instruments - Measurement of fair values (Details),http://www.cameco.com/role/FinancialInstrumentsMeasurementOfFairValuesDetails,,,
0001193125-21-087174,114,H,D,Financial instruments,042604 - Disclosure - Financial instruments - Liquidity Risk Tables (Details),http://www.cameco.com/role/FinancialInstrumentsLiquidityRiskTablesDetails,,,
0001193125-21-087174,113,H,D,Financial Instruments,042603 - Disclosure - Financial Instruments - Aging of trade receivables (Details),http://www.cameco.com/role/FinancialInstrumentsAgingOfTradeReceivablesDetails,,,
0001193125-21-087174,112,H,D,Financial Instruments,042602 - Disclosure - Financial Instruments - Exposure to credit risk receivables (Details),http://www.cameco.com/role/FinancialInstrumentsExposureToCreditRiskReceivablesDetails,,,
0001193125-21-087174,111,H,D,Financial instruments,042601 - Disclosure - Financial instruments - related risk management (Details),http://www.cameco.com/role/FinancialInstrumentsRelatedRiskManagementDetails,,,
0001193125-21-087174,110,H,D,Pension and other post-retirement benefits,042505 - Disclosure - Pension and other post-retirement benefits - Narrative (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsNarrativeDetails,,,
0001193125-21-087174,109,H,D,Pension and other post-retirement benefits,042504 - Disclosure - Pension and other post-retirement benefits - Assumptions and 1% change (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsAssumptionsAnd1ChangeDetails,,,
0001193125-21-087174,108,H,D,Pension and other post-retirement benefits,042503 - Disclosure - Pension and other post-retirement benefits - components of net pension and other benefit expense (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsComponentsOfNetPensionAndOtherBenefitExpenseDetails,,,
0001193125-21-087174,107,H,D,Pension and other post-retirement benefits,042502 - Disclosure - Pension and other post-retirement benefits - percentages of the total fair value of assets (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsPercentagesOfTheTotalFairValueOfAssetsDetails,,,
0001193125-21-087174,106,H,D,Pension and other post-retirement benefits,042501 - Disclosure - Pension and other post-retirement benefits - Defined benefit plans (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsDefinedBenefitPlansDetails,,,
0001193125-21-087174,105,H,D,Share-based compensation plans,042406 - Disclosure - Share-based compensation plans - Narrative (Details),http://www.cameco.com/role/SharebasedCompensationPlansNarrativeDetails,,,
0001193125-21-087174,104,H,D,Share-based compensation plans,042405 - Disclosure - Share-based compensation plans - Inputs used in the measurement - Cash (Details),http://www.cameco.com/role/SharebasedCompensationPlansInputsUsedInTheMeasurementCashDetails,,,
0001193125-21-087174,103,H,D,Share-based compensation plans,042404 - Disclosure - Share-based compensation plans - Inputs used in the measurement - Equity (Details),http://www.cameco.com/role/SharebasedCompensationPlansInputsUsedInTheMeasurementEquityDetails,,,
0001193125-21-087174,102,H,D,Share-based compensation plans,042403 - Disclosure - Share-based compensation plans - equity-settled and cash-settled (Details),http://www.cameco.com/role/SharebasedCompensationPlansEquitysettledAndCashsettledDetails,,,
0001193125-21-087174,101,H,D,Share-based compensation plans,042401 - Disclosure - Share-based compensation plans - Share options number and weighted average price (Details),http://www.cameco.com/role/SharebasedCompensationPlansShareOptionsNumberAndWeightedAveragePriceDetails,,,
0001193125-21-087174,100,H,D,Supplemental cash flow information,042302 - Disclosure - Supplemental cash flow information - Financing activities (Details),http://www.cameco.com/role/SupplementalCashFlowInformationFinancingActivitiesDetails,,,
0001193125-21-087174,99,H,D,Supplemental cash flow information (Details),042301 - Disclosure - Supplemental cash flow information (Details),http://www.cameco.com/role/SupplementalCashFlowInformationDetails,http://www.cameco.com/role/SupplementalCashFlowInformationTables,58.0,29.0
0001193125-21-087174,98,H,D,Per share amounts (Details),042201 - Disclosure - Per share amounts (Details),http://www.cameco.com/role/PerShareAmountsDetails,http://www.cameco.com/role/PerShareAmountsTables,57.0,28.0
0001193125-21-087174,97,H,D,Income Taxes,042107 - Disclosure - Income Taxes - Narratives (Details),http://www.cameco.com/role/IncomeTaxesNarrativesDetails,,,
0001193125-21-087174,96,H,D,Income Taxes,042106 - Disclosure - Income Taxes - Income tax losses carried forward (Details),http://www.cameco.com/role/IncomeTaxesIncomeTaxLossesCarriedForwardDetails,,,
0001193125-21-087174,95,H,D,Income Taxes,042105 - Disclosure - Income Taxes - Earnings and income taxes by jurisdiction (Details),http://www.cameco.com/role/IncomeTaxesEarningsAndIncomeTaxesByJurisdictionDetails,,,
0001193125-21-087174,94,H,D,Income Taxes,042104 - Disclosure - Income Taxes - Tax rate reconciliation (Details),http://www.cameco.com/role/IncomeTaxesTaxRateReconciliationDetails,,,
0001193125-21-087174,93,H,D,Income Taxes,042103 - Disclosure - Income Taxes - Significant components of unrecognized deferred tax assets (Details),http://www.cameco.com/role/IncomeTaxesSignificantComponentsOfUnrecognizedDeferredTaxAssetsDetails,,,
0001193125-21-087174,92,H,D,Income Taxes,042102 - Disclosure - Income Taxes - Movement in net deferred tax assets and liabilities (Details),http://www.cameco.com/role/IncomeTaxesMovementInNetDeferredTaxAssetsAndLiabilitiesDetails,,,
0001193125-21-087174,91,H,D,Income Taxes,042101 - Disclosure - Income Taxes - Significant components of deferred tax assets and liabilities (Details),http://www.cameco.com/role/IncomeTaxesSignificantComponentsOfDeferredTaxAssetsAndLiabilitiesDetails,,,
0001193125-21-087174,90,H,D,Other income (expense) (Details),042001 - Disclosure - Other income (expense) (Details),http://www.cameco.com/role/OtherIncomeexpenseDetails,http://www.cameco.com/role/OtherIncomeexpenseTables,55.0,26.0
0001193125-21-087174,89,H,D,Finance cost (Details),041901 - Disclosure - Finance cost (Details),http://www.cameco.com/role/FinanceCostDetails,http://www.cameco.com/role/FinanceCostsTables,54.0,25.0
0001193125-21-087174,88,H,D,Employee benefit expense (Details),041801 - Disclosure - Employee benefit expense (Details),http://www.cameco.com/role/EmployeeBenefitExpenseDetails,http://www.cameco.com/role/EmployeeBenefitExpenseTables,53.0,24.0
0001193125-21-087174,87,H,D,Revenue,041704 - Disclosure - Revenue - Narrative (Details),http://www.cameco.com/role/RevenueNarrativeDetails,,,
0001193125-21-087174,86,H,D,Revenue,041703 - Disclosure - Revenue - Future sales commitments (Details),http://www.cameco.com/role/RevenueFutureSalesCommitmentsDetails,,,
0001193125-21-087174,85,H,D,Revenue,041702 - Disclosure - Revenue - Deferred revenue (Details),http://www.cameco.com/role/RevenueDeferredRevenueDetails,,,
0001193125-21-087174,84,H,D,Revenue,041701 - Disclosure - Revenue - Disaggregation (Details),http://www.cameco.com/role/RevenueDisaggregationDetails,,,
0001193125-21-087174,83,H,D,Share Capital (Details),041601 - Disclosure - Share Capital (Details),http://www.cameco.com/role/ShareCapitalDetails,,,
0001193125-21-087174,82,H,D,Provisions (Details),041501 - Disclosure - Provisions (Details),http://www.cameco.com/role/ProvisionsDetails,http://www.cameco.com/role/ProvisionsTables,50.0,21.0
0001193125-21-087174,81,H,D,Other liabilities (Narrative) (Details),041402 - Disclosure - Other liabilities (Narrative) (Details),http://www.cameco.com/role/OtherLiabilitiesNarrativeDetails,http://www.cameco.com/role/OtherLiabilitiesTables,49.0,20.0
0001193125-21-087174,80,H,D,Other liabilities (Details),041401 - Disclosure - Other liabilities (Details),http://www.cameco.com/role/OtherLiabilitiesDetails,http://www.cameco.com/role/OtherLiabilitiesTables,49.0,20.0
0001193125-21-087174,79,H,D,Long term debt,041302 - Disclosure - Long term debt - Schedules (Narrative) (Details),http://www.cameco.com/role/LongTermDebtSchedulesNarrativeDetails,,,
0001193125-21-087174,78,H,D,Long term debt,041301 - Disclosure - Long term debt - Schedules (Details),http://www.cameco.com/role/LongTermDebtSchedulesDetails,,,
0001193125-21-087174,77,H,D,Accounts payable and accrued liabilities (Details),041201 - Disclosure - Accounts payable and accrued liabilities (Details),http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesDetails,http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesTables,47.0,18.0
0001193125-21-087174,76,H,D,Equity-accounted investee,041103 - Disclosure - Equity-accounted investee - Reconciliation of carrying amount (Details),http://www.cameco.com/role/EquityaccountedInvesteeReconciliationOfCarryingAmountDetails,,,
0001193125-21-087174,75,H,D,Equity-accounted investee,041102 - Disclosure - Equity-accounted investee - Associate statement of earnings (Details),http://www.cameco.com/role/EquityaccountedInvesteeAssociateStatementOfEarningsDetails,,,
0001193125-21-087174,74,H,D,Equity-accounted investee,041101 - Disclosure - Equity-accounted investee - Associate financial position (Details),http://www.cameco.com/role/EquityaccountedInvesteeAssociateFinancialPositionDetails,,,
0001193125-21-087174,73,H,D,"Long-term receivables, investments and other","041002 - Disclosure - Long-term receivables, investments and other - Equity investments (Details)",http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOtherEquityInvestmentsDetails,,,
0001193125-21-087174,72,H,D,"Long-term receivables, investments and other (Details)","041001 - Disclosure - Long-term receivables, investments and other (Details)",http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOtherDetails,http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOtherTables,45.0,16.0
0001193125-21-087174,71,H,D,Intangible assets (Details),040901 - Disclosure - Intangible assets (Details),http://www.cameco.com/role/IntangibleAssetsDetails,http://www.cameco.com/role/IntangibleAssetsTables,44.0,15.0
0001193125-21-087174,70,H,D,"Property, plant and equipment (Narrative) (Details)","040802 - Disclosure - Property, plant and equipment (Narrative) (Details)",http://www.cameco.com/role/PropertyPlantAndEquipmentNarrativeDetails,http://www.cameco.com/role/PropertyPlantAndEquipmentTables,43.0,14.0
0001193125-21-087174,69,H,D,"Property, plant and equipment (Details)","040801 - Disclosure - Property, plant and equipment (Details)",http://www.cameco.com/role/PropertyPlantAndEquipmentDetails,http://www.cameco.com/role/PropertyPlantAndEquipmentTables,43.0,14.0
0001193125-21-087174,68,H,D,Inventories (Details),040701 - Disclosure - Inventories (Details),http://www.cameco.com/role/InventoriesDetails,http://www.cameco.com/role/InventoriesTables,42.0,13.0
0001193125-21-087174,67,H,D,Accounts Receivable (Details),040601 - Disclosure - Accounts Receivable (Details),http://www.cameco.com/role/AccountsReceivableDetails,,,
0001193125-21-087174,66,H,T,Related parties (Tables),033101 - Disclosure - Related parties (Tables),http://www.cameco.com/role/RelatedPartiesTables,http://www.cameco.com/role/RelatedParties,37.0,37.0
0001193125-21-087174,65,H,T,Joint operations (Tables),033001 - Disclosure - Joint operations (Tables),http://www.cameco.com/role/JointOperationsTables,http://www.cameco.com/role/JointOperations,36.0,36.0
0001193125-21-087174,64,H,T,Group entities (Tables),032901 - Disclosure - Group entities (Tables),http://www.cameco.com/role/GroupEntitiesTables,http://www.cameco.com/role/GroupEntities,35.0,35.0
0001193125-21-087174,63,H,T,Segmented information (Tables),032801 - Disclosure - Segmented information (Tables),http://www.cameco.com/role/SegmentedInformationTables,http://www.cameco.com/role/SegmentedInformation,34.0,34.0
0001193125-21-087174,62,H,T,Capital management (Tables),032701 - Disclosure - Capital management (Tables),http://www.cameco.com/role/CapitalManagementTables,http://www.cameco.com/role/CapitalManagement,33.0,33.0
0001193125-21-087174,61,H,T,Financial instruments and related risk management (Tables),032601 - Disclosure - Financial instruments and related risk management (Tables),http://www.cameco.com/role/FinancialInstrumentsAndRelatedRiskManagementTables,http://www.cameco.com/role/FinancialInstrumentsAndRelatedRiskManagement,32.0,32.0
0001193125-21-087174,60,H,T,Pension and other post-retirement benefits (Tables),032501 - Disclosure - Pension and other post-retirement benefits (Tables),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsTables,http://www.cameco.com/role/PensionAndOtherPostretirementBenefits,31.0,31.0
0001193125-21-087174,59,H,T,Share-based compensation plans (Tables),032401 - Disclosure - Share-based compensation plans (Tables),http://www.cameco.com/role/SharebasedCompensationPlansTables,http://www.cameco.com/role/SharebasedCompensationPlans,30.0,30.0
0001193125-21-087174,58,H,T,Supplemental cash flow information (Tables),032301 - Disclosure - Supplemental cash flow information (Tables),http://www.cameco.com/role/SupplementalCashFlowInformationTables,http://www.cameco.com/role/SupplementalCashFlowInformation,29.0,29.0
0001193125-21-087174,57,H,T,Per share amounts (Tables),032201 - Disclosure - Per share amounts (Tables),http://www.cameco.com/role/PerShareAmountsTables,http://www.cameco.com/role/PerShareAmounts,28.0,28.0
0001193125-21-087174,56,H,T,Income taxes (Tables),032101 - Disclosure - Income taxes (Tables),http://www.cameco.com/role/IncomeTaxesTables,http://www.cameco.com/role/IncomeTaxes,27.0,27.0
0001193125-21-087174,55,H,T,Other income (expense) (Tables),032001 - Disclosure - Other income (expense) (Tables),http://www.cameco.com/role/OtherIncomeexpenseTables,http://www.cameco.com/role/OtherIncomeexpense,26.0,26.0
0001193125-21-087174,54,H,T,Finance costs (Tables),031901 - Disclosure - Finance costs (Tables),http://www.cameco.com/role/FinanceCostsTables,http://www.cameco.com/role/FinanceCosts,25.0,25.0
0001193125-21-087174,53,H,T,Employee benefit expense (Tables),031801 - Disclosure - Employee benefit expense (Tables),http://www.cameco.com/role/EmployeeBenefitExpenseTables,http://www.cameco.com/role/EmployeeBenefitExpense,24.0,24.0
0001193125-21-087174,52,H,T,Revenue (Tables),031701 - Disclosure - Revenue (Tables),http://www.cameco.com/role/RevenueTables,http://www.cameco.com/role/Revenue,23.0,23.0
0001193125-21-087174,51,H,T,Share capital (Tables),031601 - Disclosure - Share capital (Tables),http://www.cameco.com/role/ShareCapitalTables,http://www.cameco.com/role/ShareCapital,22.0,22.0
0001193125-21-087174,50,H,T,Provisions (Tables),031501 - Disclosure - Provisions (Tables),http://www.cameco.com/role/ProvisionsTables,http://www.cameco.com/role/Provisions,21.0,21.0
0001193125-21-087174,49,H,T,Other liabilities (Tables),031401 - Disclosure - Other liabilities (Tables),http://www.cameco.com/role/OtherLiabilitiesTables,http://www.cameco.com/role/OtherLiabilities,20.0,20.0
0001193125-21-087174,48,H,T,Long-term debt (Tables),031301 - Disclosure - Long-term debt (Tables),http://www.cameco.com/role/LongtermDebtTables,http://www.cameco.com/role/LongtermDebt,19.0,19.0
0001193125-21-087174,47,H,T,Accounts payable and accrued liabilities (Tables),031201 - Disclosure - Accounts payable and accrued liabilities (Tables),http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesTables,http://www.cameco.com/role/AccountsPayableAndAccruedLiabilities,18.0,18.0
0001193125-21-087174,46,H,T,Equity-accounted investee (Tables),031101 - Disclosure - Equity-accounted investee (Tables),http://www.cameco.com/role/EquityaccountedInvesteeTables,http://www.cameco.com/role/EquityaccountedInvestee,17.0,17.0
0001193125-21-087174,45,H,T,"Long-term receivables, investments and other (Tables)","031001 - Disclosure - Long-term receivables, investments and other (Tables)",http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOtherTables,http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOther,16.0,16.0
0001193125-21-087174,44,H,T,Intangible assets (Tables),030901 - Disclosure - Intangible assets (Tables),http://www.cameco.com/role/IntangibleAssetsTables,http://www.cameco.com/role/IntangibleAssets,15.0,15.0
0001193125-21-087174,43,H,T,"Property, plant and equipment (Tables)","030801 - Disclosure - Property, plant and equipment (Tables)",http://www.cameco.com/role/PropertyPlantAndEquipmentTables,http://www.cameco.com/role/PropertyPlantAndEquipment,14.0,14.0
0001193125-21-087174,42,H,T,Inventories (Tables),030701 - Disclosure - Inventories (Tables),http://www.cameco.com/role/InventoriesTables,http://www.cameco.com/role/Inventories,13.0,13.0
0001193125-21-087174,41,H,T,Accounts receivable (Tables),030601 - Disclosure - Accounts receivable (Tables),http://www.cameco.com/role/AccountsReceivableTables,http://www.cameco.com/role/AccountsReceivable,12.0,12.0
